P (MPa)	T (°C)	V (m3/kg)	U (kJ/kg)	H (kJ/kg)	S [kJ/(kg K)]	Phase	Rho (kg/m^3)
0.1	340	2.825	2873	3156	8.354	vapor	0.353982301
0.09	280	2.83	2780	3035	8.195	vapor	0.35335689
0.24	1200	2.833	4470	5150	9.946	vapor	0.352982704
0.08	220	2.835	2689	2916	8.022	vapor	0.352733686
0.07	160	2.841	2600	2798	7.829	vapor	0.351988736
0.06	100	2.845	2510	2681	7.608	vapor	0.351493849
0.2	960	2.845	3975	4544	9.581	vapor	0.351493849
0.18	840	2.853	3741	4254	9.383	vapor	0.350508237
0.12	470	2.855	3082	3425	8.668	vapor	0.350262697
0.11	410	2.862	2984	3299	8.532	vapor	0.34940601
0.16	720	2.864	3516	3975	9.172	vapor	0.349162011
0.15	660	2.87	3408	3839	9.06	vapor	0.348432056
0.1	350	2.871	2889	3176	8.387	vapor	0.348310693
0.07	165	2.874	2607	2808	7.852	vapor	0.347947112
0.14	600	2.877	3303	3705	8.944	vapor	0.347584289
0.22	1100	2.88	4260	4893	9.806	vapor	0.347222222
0.09	290	2.881	2795	3055	8.231	vapor	0.347101701
0.3	1600	2.882	5366	6231	10.49	vapor	0.346981263
0.06	105	2.884	2518	2691	7.635	vapor	0.346740638
0.13	540	2.885	3199	3574	8.823	vapor	0.346620451
0.2	980	2.891	4015	4593	9.621	vapor	0.345901072
0.08	230	2.893	2704	2936	8.061	vapor	0.345661943
0.12	480	2.894	3099	3446	8.696	vapor	0.345542502
0.11	420	2.905	3000	3320	8.562	vapor	0.344234079
0.18	860	2.905	3779	4302	9.425	vapor	0.344234079
0.07	170	2.908	2614	2818	7.874	vapor	0.343878955
0.1	360	2.917	2905	3196	8.419	vapor	0.342817964
0.16	740	2.921	3553	4021	9.217	vapor	0.342348511
0.28	1500	2.923	5135	5954	10.37	vapor	0.342114266
0.06	110	2.924	2526	2701	7.661	vapor	0.341997264
0.15	680	2.931	3444	3884	9.108	vapor	0.341180484
0.12	490	2.932	3115	3467	8.724	vapor	0.34106412
0.09	300	2.933	2811	3075	8.266	vapor	0.340947835
0.2	1000	2.938	4055	4642	9.66	vapor	0.340367597
0.07	175	2.941	2622	2828	7.896	vapor	0.340020401
0.14	620	2.943	3338	3750	8.994	vapor	0.339789331
0.11	430	2.947	3017	3341	8.592	vapor	0.33932813
0.08	240	2.952	2719	2955	8.1	vapor	0.338753388
0.13	560	2.956	3234	3618	8.876	vapor	0.338294993
0.18	880	2.956	3818	4350	9.467	vapor	0.338294993
0.06	115	2.964	2533	2711	7.687	vapor	0.337381916
0.1	370	2.964	2920	3217	8.451	vapor	0.337381916
0.26	1400	2.97	4909	5681	10.25	vapor	0.336700337
0.12	500	2.971	3132	3489	8.752	vapor	0.336587008
0.07	180	2.975	2629	2838	7.918	vapor	0.336134454
0.16	760	2.979	3590	4067	9.263	vapor	0.335683115
0.09	310	2.984	2826	3095	8.301	vapor	0.335120643
0.11	440	2.989	3033	3362	8.621	vapor	0.334560054
0.15	700	2.993	3480	3929	9.155	vapor	0.33411293
0.35	2000	2.998	6328	7377	10.97	vapor	0.333555704
0.06	120	3.003	2541	2721	7.712	vapor	0.333000333
0.18	900	3.007	3856	4398	9.509	vapor	0.332557366
0.07	185	3.008	2637	2847	7.939	vapor	0.332446809
0.14	640	3.009	3373	3794	9.044	vapor	0.332336324
0.08	250	3.01	2734	2975	8.139	vapor	0.332225914
0.1	380	3.01	2936	3237	8.483	vapor	0.332225914
0.24	1300	3.025	4687	5413	10.12	vapor	0.330578512
0.13	580	3.027	3268	3661	8.928	vapor	0.330360093
0.11	450	3.031	3049	3383	8.65	vapor	0.329924117
0.09	320	3.036	2842	3115	8.335	vapor	0.329380764
0.16	780	3.037	3627	4113	9.307	vapor	0.329272308
0.07	190	3.042	2644	2857	7.961	vapor	0.328731098
0.06	125	3.043	2548	2731	7.737	vapor	0.328623069
0.12	520	3.048	3166	3531	8.807	vapor	0.32808399
0.15	720	3.055	3517	3975	9.201	vapor	0.327332242
0.1	390	3.056	2952	3258	8.514	vapor	0.327225131
0.18	920	3.059	3896	4446	9.549	vapor	0.326904217
0.08	260	3.068	2750	2995	8.176	vapor	0.325945241
0.11	460	3.073	3066	3404	8.679	vapor	0.325414904
0.07	195	3.075	2652	2867	7.982	vapor	0.325203252
0.14	660	3.075	3408	3839	9.092	vapor	0.325203252
0.06	130	3.082	2555	2740	7.761	vapor	0.324464633
0.09	330	3.088	2858	3135	8.369	vapor	0.323834197
0.28	1600	3.088	5366	6231	10.52	vapor	0.323834197
0.22	1200	3.09	4470	5150	9.986	vapor	0.323624595
0.16	800	3.095	3665	4160	9.351	vapor	0.323101777
0.13	600	3.098	3303	3705	8.979	vapor	0.322788896
0.1	400	3.103	2968	3279	8.545	vapor	0.322268772
0.07	200	3.108	2659	2877	8.002	vapor	0.321750322
0.18	940	3.11	3935	4495	9.59	vapor	0.321543408
0.11	470	3.115	3082	3425	8.708	vapor	0.321027287
0.15	740	3.116	3553	4021	9.247	vapor	0.320924262
0.06	135	3.121	2563	2750	7.785	vapor	0.320410125
0.12	540	3.125	3200	3575	8.86	vapor	0.32
0.08	270	3.126	2765	3015	8.213	vapor	0.319897633
0.09	340	3.139	2873	3156	8.403	vapor	0.318572794
0.14	680	3.141	3444	3884	9.14	vapor	0.318369946
0.26	1500	3.148	5135	5954	10.41	vapor	0.317662008
0.1	410	3.149	2984	3299	8.576	vapor	0.317561131
0.16	820	3.152	3703	4207	9.394	vapor	0.317258883
0.11	480	3.157	3099	3446	8.736	vapor	0.316756414
0.06	140	3.16	2570	2760	7.809	vapor	0.316455696
0.18	960	3.161	3975	4544	9.63	vapor	0.316355584
0.13	620	3.169	3338	3750	9.029	vapor	0.315556958
0.2	1100	3.169	4260	4893	9.85	vapor	0.315556958
0.07	210	3.175	2674	2897	8.044	vapor	0.31496063
0.15	760	3.178	3590	4067	9.292	vapor	0.31466331
0.08	280	3.184	2780	3035	8.25	vapor	0.314070352
0.3	1800	3.19	5840	6797	10.78	vapor	0.313479624
0.09	350	3.191	2889	3176	8.435	vapor	0.313381385
0.1	420	3.195	3001	3320	8.606	vapor	0.312989045
0.11	490	3.199	3115	3467	8.764	vapor	0.312597687
0.06	145	3.2	2578	2770	7.833	vapor	0.3125
0.12	560	3.202	3234	3618	8.913	vapor	0.312304809
0.14	700	3.207	3480	3929	9.187	vapor	0.311817898
0.16	840	3.21	3741	4254	9.437	vapor	0.31152648
0.18	980	3.213	4015	4593	9.669	vapor	0.311235605
0.24	1400	3.218	4909	5681	10.28	vapor	0.31075202
0.06	150	3.239	2585	2780	7.856	vapor	0.308737265
0.15	780	3.239	3627	4113	9.337	vapor	0.308737265
0.05	81.32	3.24	2483	2645	7.593	saturated vapor	0.308641975
0.13	640	3.24	3373	3794	9.078	vapor	0.308641975
0.11	500	3.241	3132	3489	8.792	vapor	0.308546745
0.07	220	3.242	2689	2916	8.084	vapor	0.308451573
0.08	290	3.242	2796	3055	8.285	vapor	0.308451573
0.09	360	3.242	2905	3196	8.468	vapor	0.308451573
0.1	430	3.242	3017	3341	8.636	vapor	0.308451573
0.18	1000	3.264	4055	4642	9.709	vapor	0.306372549
0.16	860	3.268	3779	4302	9.48	vapor	0.305997552
0.14	720	3.273	3517	3975	9.233	vapor	0.305530095
0.05	85	3.275	2489	2653	7.614	vapor	0.305343511
0.06	155	3.278	2593	2789	7.879	vapor	0.305064063
0.12	580	3.279	3268	3662	8.965	vapor	0.304971028
0.1	440	3.288	3033	3362	8.665	vapor	0.304136253
0.09	370	3.294	2920	3217	8.5	vapor	0.303582271
0.08	300	3.3	2811	3075	8.321	vapor	0.303030303
0.22	1300	3.3	4687	5413	10.16	vapor	0.303030303
0.15	800	3.301	3665	4160	9.381	vapor	0.302938503
0.07	230	3.308	2704	2936	8.124	vapor	0.302297461
0.13	660	3.311	3408	3839	9.126	vapor	0.302023558
0.06	160	3.317	2600	2799	7.902	vapor	0.301477238
0.05	90	3.323	2496	2663	7.642	vapor	0.300932892
0.11	520	3.325	3166	3532	8.847	vapor	0.30075188
0.26	1600	3.325	5366	6231	10.56	vapor	0.30075188
0.16	880	3.326	3818	4350	9.522	vapor	0.300661455
0.1	450	3.334	3049	3383	8.695	vapor	0.299940012
0.14	740	3.339	3553	4021	9.279	vapor	0.299490866
0.09	380	3.345	2936	3238	8.532	vapor	0.298953662
0.06	165	3.356	2607	2809	7.924	vapor	0.297973778
0.12	600	3.356	3303	3705	9.016	vapor	0.297973778
0.08	310	3.358	2826	3095	8.356	vapor	0.297796307
0.15	820	3.363	3703	4207	9.424	vapor	0.297353553
0.05	95	3.371	2504	2673	7.669	vapor	0.296647879
0.07	240	3.375	2719	2956	8.162	vapor	0.296296296
0.1	460	3.381	3066	3404	8.724	vapor	0.295770482
0.13	680	3.382	3444	3884	9.174	vapor	0.295683028
0.16	900	3.383	3856	4398	9.563	vapor	0.295595625
0.06	170	3.395	2615	2819	7.946	vapor	0.29455081
0.09	390	3.396	2952	3258	8.563	vapor	0.294464075
0.2	1200	3.399	4471	5150	10.03	vapor	0.294204178
0.14	760	3.405	3590	4067	9.324	vapor	0.293685756
0.11	540	3.409	3200	3575	8.9	vapor	0.293341156
0.24	1500	3.41	5135	5954	10.44	vapor	0.293255132
0.08	320	3.416	2842	3115	8.39	vapor	0.292740047
0.28	1800	3.418	5840	6797	10.81	vapor	0.292568754
0.05	100	3.419	2511	2682	7.695	vapor	0.292483182
0.15	840	3.424	3741	4254	9.467	vapor	0.292056075
0.1	470	3.427	3082	3425	8.752	vapor	0.291800409
0.12	620	3.433	3338	3750	9.066	vapor	0.291290417
0.06	175	3.434	2622	2828	7.968	vapor	0.291205591
0.07	250	3.441	2735	2976	8.201	vapor	0.290613194
0.16	920	3.441	3896	4446	9.604	vapor	0.290613194
0.09	400	3.448	2968	3279	8.594	vapor	0.290023202
0.13	700	3.454	3480	3929	9.221	vapor	0.289519398
0.05	105	3.466	2519	2692	7.722	vapor	0.288517023
0.14	780	3.471	3627	4113	9.369	vapor	0.288101412
0.06	180	3.473	2630	2838	7.99	vapor	0.287935502
0.1	480	3.473	3099	3446	8.78	vapor	0.287935502
0.08	330	3.474	2858	3136	8.424	vapor	0.287852619
0.15	860	3.486	3779	4302	9.51	vapor	0.286861733
0.11	560	3.493	3234	3618	8.953	vapor	0.286286859
0.3	2000	3.498	6328	7377	11.05	vapor	0.285877644
0.09	410	3.499	2984	3299	8.625	vapor	0.285795942
0.16	940	3.499	3935	4495	9.644	vapor	0.285795942
0.07	260	3.507	2750	2995	8.238	vapor	0.285143998
0.12	640	3.51	3373	3794	9.115	vapor	0.284900285
0.22	1400	3.51	4909	5681	10.32	vapor	0.284900285
0.06	185	3.512	2637	2848	8.011	vapor	0.284738041
0.05	110	3.514	2526	2702	7.747	vapor	0.284575982
0.1	490	3.519	3115	3467	8.808	vapor	0.28417164
0.18	1100	3.521	4260	4893	9.898	vapor	0.284010224
0.13	720	3.525	3517	3975	9.268	vapor	0.283687943
0.08	340	3.532	2873	3156	8.457	vapor	0.283125708
0.14	800	3.537	3665	4160	9.413	vapor	0.282725474
0.15	880	3.547	3818	4350	9.551	vapor	0.28192839
0.06	190	3.551	2645	2858	8.032	vapor	0.281610814
0.09	420	3.551	3001	3320	8.655	vapor	0.281610814
0.16	960	3.557	3975	4544	9.684	vapor	0.281135789
0.05	115	3.561	2534	2712	7.773	vapor	0.280819994
0.1	500	3.566	3132	3489	8.836	vapor	0.280426248
0.07	270	3.574	2765	3015	8.275	vapor	0.279798545
0.11	580	3.578	3268	3662	9.005	vapor	0.279485746
0.12	660	3.587	3408	3839	9.163	vapor	0.2787845
0.06	195	3.589	2652	2868	8.054	vapor	0.278629145
0.08	350	3.59	2889	3176	8.49	vapor	0.278551532
0.13	740	3.596	3553	4021	9.313	vapor	0.278086763
0.09	430	3.602	3017	3341	8.685	vapor	0.277623542
0.24	1600	3.602	5366	6231	10.59	vapor	0.277623542
0.14	820	3.603	3703	4207	9.456	vapor	0.277546489
0.05	120	3.608	2541	2722	7.798	vapor	0.277161863
0.15	900	3.609	3856	4398	9.593	vapor	0.277085065
0.16	980	3.614	4015	4593	9.724	vapor	0.276701716
0.06	200	3.628	2660	2877	8.074	vapor	0.275633958
0.2	1300	3.63	4687	5413	10.2	vapor	0.275482094
0.07	280	3.64	2780	3035	8.312	vapor	0.274725275
0.08	360	3.648	2905	3197	8.523	vapor	0.274122807
0.09	440	3.654	3033	3362	8.714	vapor	0.273672687
0.05	125	3.655	2549	2732	7.823	vapor	0.273597811
0.1	520	3.658	3166	3532	8.891	vapor	0.273373428
0.11	600	3.662	3303	3706	9.056	vapor	0.273074823
0.12	680	3.664	3444	3884	9.211	vapor	0.272925764
0.13	760	3.667	3590	4067	9.359	vapor	0.272702482
0.14	840	3.669	3741	4254	9.499	vapor	0.272553829
0.15	920	3.671	3896	4446	9.634	vapor	0.272405339
0.16	1000	3.672	4055	4642	9.763	vapor	0.272331155
0.26	1800	3.68	5840	6797	10.84	vapor	0.27173913
0.05	130	3.702	2556	2741	7.847	vapor	0.270124257
0.09	450	3.705	3050	3383	8.743	vapor	0.269905533
0.06	210	3.706	2675	2897	8.115	vapor	0.269832704
0.07	290	3.706	2796	3055	8.347	vapor	0.269832704
0.08	370	3.706	2921	3217	8.555	vapor	0.269832704
0.22	1500	3.72	5135	5954	10.48	vapor	0.268817204
0.15	940	3.732	3935	4495	9.674	vapor	0.26795284
0.14	860	3.735	3779	4302	9.541	vapor	0.267737617
0.13	780	3.738	3627	4113	9.403	vapor	0.267522739
0.12	700	3.741	3480	3929	9.258	vapor	0.267308206
0.11	620	3.746	3338	3750	9.106	vapor	0.266951415
0.28	2000	3.747	6328	7377	11.08	vapor	0.266880171
0.05	135	3.749	2564	2751	7.871	vapor	0.266737797
0.1	540	3.751	3200	3575	8.945	vapor	0.266595575
0.09	460	3.756	3066	3404	8.772	vapor	0.266240682
0.08	380	3.764	2937	3238	8.586	vapor	0.265674814
0.07	300	3.773	2811	3075	8.383	vapor	0.265041081
0.18	1200	3.777	4471	5150	10.08	vapor	0.264760392
0.06	220	3.783	2690	2917	8.156	vapor	0.264340471
0.15	960	3.794	3975	4544	9.714	vapor	0.263574064
0.05	140	3.796	2571	2761	7.895	vapor	0.263435195
0.14	880	3.801	3818	4350	9.583	vapor	0.263088661
0.09	470	3.808	3082	3425	8.801	vapor	0.262605042
0.13	800	3.809	3665	4160	9.447	vapor	0.262536099
0.12	720	3.818	3517	3975	9.305	vapor	0.261917234
0.08	390	3.822	2952	3258	8.618	vapor	0.261643119
0.11	640	3.83	3373	3794	9.155	vapor	0.261096606
0.07	310	3.839	2827	3095	8.418	vapor	0.260484501
0.05	145	3.843	2578	2771	7.918	vapor	0.260213375
0.1	560	3.843	3234	3618	8.997	vapor	0.260213375
0.15	980	3.855	4015	4593	9.754	vapor	0.259403372
0.09	480	3.859	3099	3446	8.829	vapor	0.259134491
0.06	230	3.861	2705	2936	8.195	vapor	0.259000259
0.2	1400	3.861	4909	5681	10.37	vapor	0.259000259
0.14	900	3.867	3857	4398	9.625	vapor	0.258598397
0.08	400	3.879	2969	3279	8.649	vapor	0.257798402
0.13	820	3.88	3703	4207	9.49	vapor	0.257731959
0.05	150	3.89	2586	2780	7.941	vapor	0.257069409
0.12	740	3.895	3553	4021	9.35	vapor	0.256739409
0.07	320	3.905	2842	3116	8.452	vapor	0.256081946
0.09	490	3.911	3116	3468	8.857	vapor	0.255689082
0.11	660	3.914	3408	3839	9.204	vapor	0.255493102
0.15	1000	3.917	4055	4642	9.793	vapor	0.255297421
0.22	1600	3.93	5366	6231	10.63	vapor	0.254452926
0.14	920	3.933	3896	4446	9.666	vapor	0.254258835
0.1	580	3.935	3268	3662	9.049	vapor	0.254129606
0.05	155	3.937	2593	2790	7.964	vapor	0.254000508
0.08	410	3.937	2985	3300	8.679	vapor	0.254000508
0.06	240	3.938	2720	2956	8.234	vapor	0.253936008
0.13	840	3.951	3741	4254	9.533	vapor	0.253100481
0.16	1100	3.961	4260	4893	9.953	vapor	0.2524615
0.09	500	3.962	3132	3489	8.885	vapor	0.252397779
0.07	330	3.971	2858	3136	8.486	vapor	0.251825737
0.12	760	3.972	3590	4067	9.395	vapor	0.251762336
0.05	160	3.983	2601	2800	7.987	vapor	0.251067035
0.24	1800	3.987	5840	6797	10.88	vapor	0.250815149
0.04	75.86	3.993	2476	2636	7.669	saturated vapor	0.250438267
0.08	420	3.995	3001	3320	8.709	vapor	0.250312891
0.11	680	3.998	3444	3884	9.251	vapor	0.250125063
0.14	940	3.999	3935	4495	9.706	vapor	0.250062516
0.06	250	4.016	2735	2976	8.272	vapor	0.249003984
0.13	860	4.022	3779	4302	9.576	vapor	0.248632521
0.1	600	4.028	3303	3706	9.1	vapor	0.248262165
0.05	165	4.03	2608	2809	8.009	vapor	0.248138958
0.18	1300	4.034	4687	5413	10.25	vapor	0.24789291
0.26	2000	4.036	6328	7377	11.11	vapor	0.247770069
0.07	340	4.037	2873	3156	8.519	vapor	0.247708695
0.04	80	4.043	2483	2644	7.693	vapor	0.247341083
0.12	780	4.049	3627	4113	9.44	vapor	0.246974562
0.08	430	4.053	3017	3341	8.739	vapor	0.246730817
0.09	520	4.065	3166	3532	8.94	vapor	0.24600246
0.14	960	4.065	3975	4544	9.746	vapor	0.24600246
0.05	170	4.077	2615	2819	8.031	vapor	0.245278391
0.11	700	4.082	3480	3929	9.298	vapor	0.244977952
0.2	1500	4.092	5135	5954	10.53	vapor	0.244379277
0.06	260	4.093	2750	2996	8.31	vapor	0.24431957
0.13	880	4.093	3818	4350	9.617	vapor	0.24431957
0.04	85	4.102	2490	2654	7.72	vapor	0.24378352
0.07	350	4.104	2889	3176	8.552	vapor	0.243664717
0.08	440	4.111	3033	3362	8.769	vapor	0.243249818
0.1	620	4.12	3338	3750	9.15	vapor	0.242718447
0.05	175	4.123	2623	2829	8.053	vapor	0.242541838
0.12	800	4.126	3665	4160	9.484	vapor	0.242365487
0.14	980	4.131	4015	4593	9.786	vapor	0.242072137
0.04	90	4.162	2498	2664	7.748	vapor	0.240269101
0.13	900	4.164	3857	4398	9.659	vapor	0.240153698
0.11	720	4.166	3517	3975	9.345	vapor	0.240038406
0.09	540	4.168	3200	3575	8.993	vapor	0.239923225
0.08	450	4.169	3050	3383	8.798	vapor	0.239865675
0.05	180	4.17	2630	2839	8.075	vapor	0.239808153
0.07	360	4.17	2905	3197	8.584	vapor	0.239808153
0.06	270	4.171	2765	3016	8.347	vapor	0.239750659
0.14	1000	4.197	4055	4642	9.825	vapor	0.238265428
0.12	820	4.203	3703	4207	9.527	vapor	0.237925291
0.1	640	4.213	3373	3794	9.199	vapor	0.237360551
0.05	185	4.217	2638	2848	8.096	vapor	0.237135404
0.04	95	4.221	2505	2674	7.775	vapor	0.236910685
0.15	1100	4.225	4260	4893	9.983	vapor	0.236686391
0.08	460	4.226	3066	3404	8.827	vapor	0.236630383
0.13	920	4.235	3896	4446	9.7	vapor	0.236127509
0.07	370	4.236	2921	3217	8.616	vapor	0.236071766
0.06	280	4.248	2781	3036	8.383	vapor	0.235404896
0.16	1200	4.249	4471	5151	10.13	vapor	0.235349494
0.11	740	4.25	3553	4021	9.391	vapor	0.235294118
0.05	190	4.263	2645	2858	8.117	vapor	0.234576589
0.09	560	4.27	3234	3618	9.046	vapor	0.234192037
0.04	100	4.28	2513	2684	7.801	vapor	0.23364486
0.12	840	4.28	3741	4254	9.57	vapor	0.23364486
0.08	470	4.284	3082	3425	8.855	vapor	0.233426704
0.18	1400	4.29	4909	5681	10.42	vapor	0.233100233
0.07	380	4.302	2937	3238	8.648	vapor	0.232450023
0.1	660	4.305	3408	3839	9.248	vapor	0.232288037
0.13	940	4.306	3935	4495	9.74	vapor	0.232234092
0.05	195	4.31	2653	2868	8.138	vapor	0.232018561
0.2	1600	4.323	5366	6231	10.68	vapor	0.231320842
0.06	290	4.325	2796	3056	8.419	vapor	0.231213873
0.11	760	4.334	3590	4067	9.436	vapor	0.230733733
0.04	105	4.339	2520	2694	7.827	vapor	0.23046785
0.08	480	4.342	3099	3446	8.884	vapor	0.230308614
0.22	1800	4.35	5840	6797	10.92	vapor	0.229885057
0.05	200	4.356	2660	2878	8.159	vapor	0.229568411
0.12	860	4.357	3779	4302	9.613	vapor	0.229515722
0.07	390	4.368	2953	3258	8.679	vapor	0.228937729
0.24	2000	4.372	6328	7377	11.15	vapor	0.228728271
0.09	580	4.373	3268	3662	9.098	vapor	0.228675966
0.13	960	4.377	3975	4544	9.78	vapor	0.228466987
0.04	110	4.398	2527	2703	7.853	vapor	0.22737608
0.1	680	4.398	3444	3884	9.295	vapor	0.22737608
0.08	490	4.4	3116	3468	8.912	vapor	0.227272727
0.06	300	4.402	2811	3076	8.454	vapor	0.227169468
0.11	780	4.418	3627	4113	9.48	vapor	0.226346763
0.07	400	4.434	2969	3279	8.71	vapor	0.225529995
0.12	880	4.434	3818	4350	9.654	vapor	0.225529995
0.13	980	4.448	4015	4593	9.82	vapor	0.224820144
0.05	210	4.449	2675	2897	8.2	vapor	0.224769611
0.04	115	4.457	2535	2713	7.878	vapor	0.224366166
0.08	500	4.458	3132	3489	8.939	vapor	0.224315837
0.09	600	4.476	3303	3706	9.149	vapor	0.223413762
0.06	310	4.48	2827	3096	8.489	vapor	0.223214286
0.1	700	4.49	3480	3929	9.342	vapor	0.222717149
0.07	410	4.5	2985	3300	8.741	vapor	0.222222222
0.11	800	4.502	3665	4160	9.524	vapor	0.222123501
0.12	900	4.511	3857	4398	9.696	vapor	0.221680337
0.04	120	4.515	2542	2723	7.903	vapor	0.221483942
0.13	1000	4.52	4055	4643	9.859	vapor	0.221238938
0.14	1100	4.527	4260	4893	10.01	vapor	0.220896841
0.15	1200	4.533	4471	5151	10.16	vapor	0.220604456
0.16	1300	4.538	4687	5413	10.31	vapor	0.220361393
0.05	220	4.542	2690	2917	8.24	vapor	0.220167327
0.18	1500	4.547	5135	5954	10.58	vapor	0.219925225
0.06	320	4.557	2842	3116	8.523	vapor	0.219442616
0.07	420	4.566	3001	3321	8.771	vapor	0.219010074
0.08	520	4.573	3166	3532	8.994	vapor	0.218674831
0.04	125	4.574	2549	2732	7.927	vapor	0.218627022
0.09	620	4.578	3338	3750	9.199	vapor	0.218435998
0.1	720	4.582	3517	3975	9.389	vapor	0.218245308
0.11	820	4.586	3703	4207	9.568	vapor	0.21805495
0.12	920	4.588	3896	4446	9.737	vapor	0.217959895
0.07	430	4.632	3017	3341	8.801	vapor	0.215889465
0.04	130	4.633	2557	2742	7.952	vapor	0.215842866
0.06	330	4.634	2858	3136	8.557	vapor	0.215796288
0.05	230	4.635	2705	2937	8.28	vapor	0.21574973
0.12	940	4.665	3935	4495	9.777	vapor	0.214362272
0.11	840	4.67	3741	4255	9.61	vapor	0.214132762
0.1	740	4.675	3553	4021	9.435	vapor	0.213903743
0.09	640	4.681	3373	3794	9.248	vapor	0.213629566
0.08	540	4.689	3200	3575	9.048	vapor	0.213265089
0.04	135	4.691	2564	2752	7.976	vapor	0.213174163
0.07	440	4.699	3033	3362	8.83	vapor	0.212811236
0.06	340	4.711	2874	3156	8.59	vapor	0.212269157
0.05	240	4.728	2720	2956	8.319	vapor	0.211505922
0.12	960	4.742	3975	4544	9.817	vapor	0.210881485
0.04	140	4.75	2572	2762	7.999	vapor	0.210526316
0.11	860	4.754	3779	4302	9.653	vapor	0.21034918
0.07	450	4.765	3050	3383	8.86	vapor	0.209863589
0.1	760	4.767	3590	4067	9.48	vapor	0.20977554
0.22	2000	4.769	6328	7377	11.19	vapor	0.209687566
0.09	660	4.784	3409	3839	9.296	vapor	0.2090301
0.2	1800	4.784	5840	6797	10.97	vapor	0.2090301
0.06	350	4.788	2889	3177	8.623	vapor	0.208855472
0.18	1600	4.803	5366	6231	10.73	vapor	0.208203206
0.08	560	4.804	3234	3618	9.1	vapor	0.208159867
0.04	145	4.808	2579	2771	8.023	vapor	0.207986689
0.12	980	4.819	4015	4593	9.857	vapor	0.207511932
0.05	250	4.821	2735	2976	8.357	vapor	0.207425845
0.16	1400	4.826	4909	5681	10.47	vapor	0.207210941
0.07	460	4.831	3066	3404	8.889	vapor	0.206996481
0.11	880	4.838	3818	4350	9.695	vapor	0.206696982
0.15	1300	4.84	4687	5413	10.34	vapor	0.20661157
0.14	1200	4.856	4471	5151	10.2	vapor	0.205930807
0.1	780	4.86	3628	4114	9.524	vapor	0.205761317
0.06	360	4.865	2905	3197	8.656	vapor	0.205549846
0.04	150	4.866	2586	2781	8.046	vapor	0.205507604
0.13	1100	4.875	4260	4894	10.05	vapor	0.205128205
0.09	680	4.886	3444	3884	9.344	vapor	0.204666394
0.12	1000	4.896	4055	4643	9.896	vapor	0.204248366
0.07	470	4.897	3083	3425	8.917	vapor	0.204206657
0.05	260	4.913	2750	2996	8.394	vapor	0.203541624
0.08	580	4.92	3268	3662	9.152	vapor	0.203252033
0.11	900	4.922	3857	4398	9.736	vapor	0.203169443
0.04	155	4.925	2594	2791	8.068	vapor	0.203045685
0.06	370	4.943	2921	3217	8.688	vapor	0.202306292
0.1	800	4.952	3665	4160	9.568	vapor	0.201938611
0.07	480	4.963	3099	3447	8.945	vapor	0.201491034
0.04	160	4.983	2601	2800	8.091	vapor	0.20068232
0.09	700	4.989	3480	3929	9.391	vapor	0.20044097
0.05	270	5.006	2765	3016	8.431	vapor	0.199760288
0.11	920	5.006	3896	4446	9.777	vapor	0.199760288
0.06	380	5.02	2937	3238	8.719	vapor	0.199203187
0.07	490	5.029	3116	3468	8.973	vapor	0.198846689
0.08	600	5.035	3303	3706	9.203	vapor	0.198609732
0.04	165	5.041	2608	2810	8.113	vapor	0.198373339
0.1	820	5.044	3703	4207	9.612	vapor	0.198255353
0.11	940	5.089	3935	4495	9.817	vapor	0.19650226
0.09	720	5.092	3517	3975	9.438	vapor	0.196386489
0.07	500	5.095	3132	3489	9.001	vapor	0.196270854
0.06	390	5.097	2953	3259	8.751	vapor	0.19619384
0.04	170	5.099	2616	2820	8.135	vapor	0.196116886
0.05	280	5.099	2781	3036	8.468	vapor	0.196116886
0.16	1500	5.115	5135	5954	10.63	vapor	0.195503421
0.1	840	5.137	3741	4255	9.654	vapor	0.194666148
0.15	1400	5.148	4909	5681	10.5	vapor	0.194250194
0.08	620	5.151	3338	3750	9.253	vapor	0.194137061
0.04	175	5.158	2623	2830	8.157	vapor	0.193873594
0.11	960	5.173	3975	4544	9.857	vapor	0.193311425
0.06	400	5.174	2969	3279	8.782	vapor	0.193274063
0.14	1300	5.186	4687	5413	10.37	vapor	0.192826841
0.05	290	5.191	2796	3056	8.503	vapor	0.19264111
0.09	740	5.194	3553	4021	9.483	vapor	0.192529842
0.04	180	5.216	2631	2839	8.179	vapor	0.191717791
0.07	520	5.227	3166	3532	9.056	vapor	0.191314329
0.03	69.1	5.228	2468	2625	7.768	saturated vapor	0.191277735
0.1	860	5.229	3779	4302	9.697	vapor	0.191241155
0.13	1200	5.23	4471	5151	10.23	vapor	0.191204589
0.03	70	5.243	2469	2626	7.773	vapor	0.190730498
0.2	2000	5.246	6328	7377	11.23	vapor	0.190621426
0.06	410	5.251	2985	3300	8.812	vapor	0.190439916
0.11	980	5.257	4015	4593	9.897	vapor	0.19022256
0.08	640	5.266	3373	3794	9.302	vapor	0.189897455
0.04	185	5.274	2638	2849	8.2	vapor	0.189609405
0.12	1100	5.281	4260	4894	10.09	vapor	0.189358076
0.05	300	5.284	2812	3076	8.539	vapor	0.189250568
0.09	760	5.297	3590	4067	9.528	vapor	0.188786105
0.18	1800	5.316	5840	6797	11.01	vapor	0.188111362
0.1	880	5.321	3818	4350	9.739	vapor	0.187934599
