P (MPa)	T (°C)	V (m3/kg)	U (kJ/kg)	H (kJ/kg)	S [kJ/(kg K)]	Phase	Rho (kg/m^3)
0.8	5	0.0009997	21.02	21.82	0.07624	liquid	1000.30009
1	0	0.0009997	-0.0197	0.98	-0.00009	liquid	1000.30009
1.1	0	0.0009997	-0.01961	1.08	-0.00008	liquid	1000.30009
1.3	10	0.0009997	41.99	43.29	0.151	liquid	1000.30009
1.4	10	0.0009997	41.98	43.38	0.151	liquid	1000.30009
19	40	0.0009997	165.3	184.3	0.565	liquid	1000.30009
0.5	5	0.0009998	21.02	21.52	0.07625	liquid	1000.20004
0.55	5	0.0009998	21.02	21.57	0.07624	liquid	1000.20004
0.6	5	0.0009998	21.02	21.62	0.07624	liquid	1000.20004
0.65	5	0.0009998	21.02	21.67	0.07624	liquid	1000.20004
0.75	0	0.0009998	-0.02987	0.72	-0.0001	liquid	1000.20004
0.8	0	0.0009998	-0.02984	0.77	-0.0001	liquid	1000.20004
0.9	0	0.0009998	-0.02978	0.87	-0.00009	liquid	1000.20004
1.1	10	0.0009998	41.99	43.09	0.151	liquid	1000.20004
1.2	10	0.0009998	41.99	43.19	0.151	liquid	1000.20004
2.5	15	0.0009998	62.87	65.37	0.2241	liquid	1000.20004
4.5	20	0.0009998	83.64	88.14	0.2955	liquid	1000.20004
0.3	5	0.0009999	21.02	21.32	0.07625	liquid	1000.10001
0.35	5	0.0009999	21.02	21.37	0.07625	liquid	1000.10001
0.4	5	0.0009999	21.02	21.42	0.07625	liquid	1000.10001
0.45	5	0.0009999	21.02	21.47	0.07625	liquid	1000.10001
0.55	0	0.0009999	-0.02996	0.52	-0.00012	liquid	1000.10001
0.6	0	0.0009999	-0.02994	0.57	-0.00011	liquid	1000.10001
0.65	0	0.0009999	-0.02992	0.62	-0.00011	liquid	1000.10001
0.7	0	0.0009999	-0.0299	0.67	-0.00011	liquid	1000.10001
0.9	10	0.0009999	42	42.9	0.151	liquid	1000.10001
1	10	0.0009999	41.99	42.99	0.151	liquid	1000.10001
2.2	15	0.0009999	62.88	65.08	0.2241	liquid	1000.10001
7	25	0.0009999	104.3	111.3	0.3654	liquid	1000.10001
14	35	0.0009999	145.2	159.2	0.5002	liquid	1000.10001
0.01	0	0.001	-0.04	-0.03	-0.00015	liquid	1000
0.01	5	0.001	21.02	21.03	0.07625	liquid	1000
0.01	10	0.001	42.02	42.03	0.1511	liquid	1000
0.02	0	0.001	-0.04	-0.02	0.00015	liquid	1000
0.02	10	0.001	42.02	42.04	0.1511	liquid	1000
0.03	0	0.001	-0.04001	-0.01	0.00015	liquid	1000
0.03	5	0.001	21.02	21.05	0.07625	liquid	1000
0.03	10	0.001	42.02	42.05	0.1518	liquid	1000
0.04	0	0.001	-0.04001	0	-0.00015	liquid	1000
0.04	5	0.001	21.02	21.06	0.07625	liquid	1000
0.04	10	0.001	42.02	42.06	0.1511	liquid	1000
0.05	0	0.001	-0.04001	0.01	-0.00015	liquid	1000
0.05	5	0.001	21.02	21.07	0.07625	liquid	1000
0.05	10	0.001	42.02	42.07	0.1511	liquid	1000
0.06	0	0.001	-0.04001	0.02	0.00015	liquid	1000
0.06	5	0.001	21.02	21.08	0.07625	liquid	1000
0.06	10	0.001	42.02	42.08	0.1511	liquid	1000
0.07	0	0.001	-0.04001	0.03	-0.00015	liquid	1000
0.07	5	0.001	21.02	21.09	0.07625	liquid	1000
0.07	10	0.001	42.02	42.09	0.1511	liquid	1000
0.08	0	0.001	-0.04001	0.04	-0.00015	liquid	1000
0.08	5	0.001	21.02	21.1	0.07625	liquid	1000
0.08	10	0.001	42.02	42.1	0.1511	liquid	1000
0.09	0	0.001	-0.04001	0.05	-0.00015	liquid	1000
0.09	5	0.001	21.02	21.11	0.07625	liquid	1000
0.09	10	0.001	42.02	42.11	0.1511	liquid	1000
0.1	0	0.001	-0.04002	0.06	-0.00015	liquid	1000
0.1	5	0.001	21.02	21.12	0.07625	liquid	1000
0.1	10	0.001	42.02	42.12	0.1511	liquid	1000
0.11	0	0.001	-0.04002	0.07	-0.00015	liquid	1000
0.11	5	0.001	21.02	21.13	0.07625	liquid	1000
0.11	10	0.001	42.02	42.13	0.1511	liquid	1000
0.12	0	0.001	-0.04002	0.08	-0.00015	liquid	1000
0.12	5	0.001	21.02	21.14	0.07625	liquid	1000
0.12	10	0.001	42.02	42.14	0.1511	liquid	1000
0.13	0	0.001	-0.04002	0.09	-0.00015	liquid	1000
0.13	5	0.001	21.02	21.15	0.07625	liquid	1000
0.13	10	0.001	42.02	42.15	0.1511	liquid	1000
0.14	0	0.001	-0.04002	0.1	-0.00015	liquid	1000
0.14	5	0.001	21.02	21.16	0.07625	liquid	1000
0.14	10	0.001	42.02	42.16	0.1511	liquid	1000
0.15	0	0.001	-0.04002	0.11	-0.00014	liquid	1000
0.15	5	0.001	21.02	21.17	0.07625	liquid	1000
0.15	10	0.001	42.02	42.17	0.1511	liquid	1000
0.16	0	0.001	-0.04002	0.12	-0.00014	liquid	1000
0.16	5	0.001	21.02	21.18	0.07625	liquid	1000
0.16	10	0.001	42.02	42.18	0.1511	liquid	1000
0.18	0	0.001	-0.04002	0.14	-0.00014	liquid	1000
0.18	5	0.001	21.02	21.2	0.07625	liquid	1000
0.18	10	0.001	42.02	42.2	0.1511	liquid	1000
0.2	0	0.001	-0.04002	0.16	-0.00014	liquid	1000
0.2	5	0.001	21.02	21.22	0.07625	liquid	1000
0.2	10	0.001	42.02	42.22	0.1511	liquid	1000
0.22	0	0.001	-0.04002	0.18	-0.00014	liquid	1000
0.22	5	0.001	21.02	21.24	0.07625	liquid	1000
0.22	10	0.001	42.01	42.23	0.1511	liquid	1000
0.24	0	0.001	-0.04002	0.2	-0.00014	liquid	1000
0.24	5	0.001	21.02	21.26	0.07625	liquid	1000
0.24	10	0.001	42.01	42.25	0.1511	liquid	1000
0.26	0	0.001	-0.04002	0.22	-0.00014	liquid	1000
0.26	5	0.001	21.02	21.28	0.07625	liquid	1000
0.26	10	0.001	42.01	42.27	0.1511	liquid	1000
0.28	0	0.001	-0.04002	0.24	-0.00014	liquid	1000
0.28	5	0.001	21.02	21.3	0.07625	liquid	1000
0.28	10	0.001	42.01	42.29	0.1511	liquid	1000
0.3	0	0.001	-0.04002	0.26	-0.00013	liquid	1000
0.3	10	0.001	42.01	42.31	0.1511	liquid	1000
0.35	0	0.001	-0.04001	0.31	-0.00013	liquid	1000
0.35	10	0.001	42.01	42.36	0.1511	liquid	1000
0.4	0	0.001	-0.03	0.37	-0.00013	liquid	1000
0.4	10	0.001	42.01	42.41	0.1511	liquid	1000
0.45	0	0.001	-0.02999	0.42	-0.00012	liquid	1000
0.45	10	0.001	42.01	42.46	0.1511	liquid	1000
0.5	0	0.001	-0.02998	0.47	-0.00012	liquid	1000
0.5	10	0.001	42.01	42.51	0.151	liquid	1000
0.55	10	0.001	42.01	42.56	0.151	liquid	1000
0.6	10	0.001	42.01	42.61	0.151	liquid	1000
0.65	10	0.001	42	42.65	0.151	liquid	1000
0.7	10	0.001	42	42.7	0.151	liquid	1000
0.75	10	0.001	42	42.75	0.151	liquid	1000
0.8	10	0.001	42	42.8	0.151	liquid	1000
1	15	0.001	62.94	63.94	0.2243	liquid	1000
1.1	15	0.001	62.93	64.03	0.2243	liquid	1000
1.2	15	0.001	62.93	64.13	0.2243	liquid	1000
1.3	15	0.001	62.92	64.22	0.2243	liquid	1000
1.4	15	0.001	62.92	64.32	0.2243	liquid	1000
1.5	15	0.001	62.91	64.41	0.2242	liquid	1000
1.6	15	0.001	62.91	64.51	0.2242	liquid	1000
1.8	15	0.001	62.9	64.7	0.2242	liquid	1000
2	15	0.001	62.89	64.89	0.2242	liquid	1000
3	20	0.001	83.73	86.73	0.2959	liquid	1000
3.5	20	0.001	83.7	87.2	0.2958	liquid	1000
4	20	0.001	83.67	87.67	0.2956	liquid	1000
6	25	0.001	104.4	110.4	0.3657	liquid	1000
6.5	25	0.001	104.3	110.8	0.3655	liquid	1000
9	30	0.001	124.9	133.9	0.434	liquid	1000
10	30	0.001	124.8	134.8	0.4337	liquid	1000
13	35	0.001	145.3	158.3	0.5006	liquid	1000
18	40	0.001	165.4	183.4	0.5654	liquid	1000
22	45	0.001	185.6	207.6	0.6293	liquid	1000
0.01	15	0.001001	62.98	62.99	0.2245	liquid	999.000999
0.02	5	0.001001	21.02	21.04	0.07625	liquid	999.000999
0.02	15	0.001001	62.98	63	0.2245	liquid	999.000999
0.03	15	0.001001	62.98	63.01	0.2245	liquid	999.000999
0.04	15	0.001001	62.98	63.02	0.2245	liquid	999.000999
0.05	15	0.001001	62.98	63.03	0.2245	liquid	999.000999
0.06	15	0.001001	62.98	63.04	0.2245	liquid	999.000999
0.07	15	0.001001	62.98	63.05	0.2245	liquid	999.000999
0.08	15	0.001001	62.98	63.06	0.2245	liquid	999.000999
0.09	15	0.001001	62.98	63.07	0.2245	liquid	999.000999
0.1	15	0.001001	62.98	63.08	0.2245	liquid	999.000999
0.11	15	0.001001	62.98	63.09	0.2245	liquid	999.000999
0.12	15	0.001001	62.97	63.09	0.2245	liquid	999.000999
0.13	15	0.001001	62.97	63.1	0.2244	liquid	999.000999
0.14	15	0.001001	62.97	63.11	0.2244	liquid	999.000999
0.15	15	0.001001	62.97	63.12	0.2244	liquid	999.000999
0.16	15	0.001001	62.97	63.13	0.2244	liquid	999.000999
0.18	15	0.001001	62.97	63.15	0.2244	liquid	999.000999
0.2	15	0.001001	62.97	63.17	0.2244	liquid	999.000999
0.22	15	0.001001	62.97	63.19	0.2244	liquid	999.000999
0.24	15	0.001001	62.97	63.21	0.2244	liquid	999.000999
0.26	15	0.001001	62.97	63.23	0.2244	liquid	999.000999
0.28	15	0.001001	62.97	63.25	0.2244	liquid	999.000999
0.3	15	0.001001	62.97	63.27	0.2244	liquid	999.000999
0.35	15	0.001001	62.96	63.31	0.2244	liquid	999.000999
0.4	15	0.001001	62.96	63.36	0.2244	liquid	999.000999
0.45	15	0.001001	62.96	63.41	0.2244	liquid	999.000999
0.5	15	0.001001	62.96	63.46	0.2244	liquid	999.000999
0.55	15	0.001001	62.96	63.51	0.2244	liquid	999.000999
0.6	15	0.001001	62.95	63.55	0.2244	liquid	999.000999
0.65	15	0.001001	62.95	63.6	0.2244	liquid	999.000999
0.7	15	0.001001	62.95	63.65	0.2244	liquid	999.000999
0.75	15	0.001001	62.95	63.7	0.2244	liquid	999.000999
0.8	15	0.001001	62.95	63.75	0.2243	liquid	999.000999
0.8	20	0.001001	83.86	84.66	0.2963	liquid	999.000999
